R_hand : x,R_hand : y,R_hand : z,R_thumb : x,R_thumb : y,R_thumb : z,R_index : x,R_index : y,R_index : zx,R_middle : x,R_middle : y,R_middle : z,R_ring : x,R_ring : y,R_ring : z,R_pinky : x,R_pinky : y,R_pinky : z,R_hand_vec : x,R_hand_vec : y,R_hand_vec : z,R_fin_to_fin :x,R_fin_to_fin :y,R_fin_to_fin :z,R_dis_thumb,R_dis_index,R_dis_middle,R_dis_ring,R_dis_pinky,L_hand : x,L_hand : y,L_hand : z,L_thumb : x,L_thumb : y,L_thumb : z,L_index : x,L_index : y,L_index : zx,L_middle : x,L_middle : y,L_middle : z,L_ring : x,L_ring : y,L_ring : z,L_pinky : x,L_pinky : y,L_pinky : z,L_hand_vec : x,L_hand_vec : y,L_hand_vec : z,L_fin_to_fin :x,L_fin_to_fin :y,L_fin_to_fin :z,L_dis_thumb,L_dis_index,L_dis_middle,L_dis_ring,L_dis_pinky
62.41937,253.8497,35.43192,-12.25642,264.4768,25.12933,-45.50198,37.5009,-77.03339,-10.75527,44.6794,-89.66594,15.30313,44.89476,-81.4343,45.83545,28.90422,-63.97486,-0.09596152,-0.8242923,-0.5579727,34.74671,7.178497,-12.63255,265.9505,97.00975,100.7567,94.24049,83.83987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.02811,253.1802,35.25744,-11.68633,263.8931,25.05225,-45.47935,37.3372,-77.13732,-10.66573,44.51863,-89.7642,15.36733,44.73058,-81.52408,45.95071,28.82909,-63.96993,-0.09537432,-0.8255137,-0.5562651,34.81362,7.181427,-12.62688,265.3371,97.01858,100.7635,94.25049,83.87333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.51351,252.5418,35.04626,-11.20388,263.252,24.77833,-45.39484,37.26648,-77.22771,-10.52322,44.44788,-89.81987,15.49656,44.7063,-81.52938,46.07533,28.81989,-63.91061,-0.09413491,-0.8260017,-0.5557515,34.87162,7.181396,-12.59216,264.6529,97.02371,100.7669,94.26472,83.89332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.98003,251.9554,34.79045,-10.74901,262.6587,24.52848,-45.39186,37.07158,-77.32614,-10.4915,44.23232,-89.9329,15.52882,44.49608,-81.65288,46.13491,28.68044,-63.96041,-0.09378574,-0.8273875,-0.5537456,34.90036,7.160736,-12.60675,264.0204,97.02605,100.7695,94.27745,83.91622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.17019,251.7035,34.69781,-10.55993,262.4607,24.46392,-45.37353,37.03529,-77.35544,-10.4425,44.20787,-89.95566,15.56435,44.43904,-81.68358,46.19028,28.63487,-63.96201,-0.0938824,-0.82772,-0.553232,34.93103,7.172577,-12.60023,263.8098,97.02698,100.774,94.283,83.93233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.5059,251.0842,34.52343,-10.22356,261.8994,24.30038,-45.3374,37.00752,-77.40516,-10.35486,44.09471,-90.02306,15.63364,44.33891,-81.7354,46.30556,28.5573,-63.95542,-0.09375414,-0.8284377,-0.5521786,34.98254,7.087189,-12.6179,263.223,97.03915,100.7756,94.29224,83.9644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.78065,250.6027,34.43335,-9.89914,261.6354,24.26668,-45.27881,37.06171,-77.42551,-10.26202,44.0369,-90.06322,15.74885,44.28018,-81.76344,46.39765,28.40741,-63.98198,-0.09486856,-0.8287791,-0.5514754,35.01679,6.975189,-12.6377,262.9448,97.04871,100.7767,94.30812,83.98462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.05496,250.1203,34.3007,-9.569276,261.3369,24.23312,-45.27637,37.06841,-77.42534,-10.19703,44.08864,-90.0536,15.78605,44.24635,-81.79083,46.44981,28.38637,-63.98207,-0.09529888,-0.8288701,-0.5512645,35.07935,7.020233,-12.62827,262.6324,97.04999,100.7841,94.32221,84.00641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.33345,249.6748,34.18473,-9.252147,260.991,24.16401,-45.2649,37.01218,-77.46421,-10.14264,44.02469,-90.09436,15.81356,44.18732,-81.82565,46.54294,28.36752,-63.96795,-0.09496513,-0.8293971,-0.5505289,35.12226,7.012512,-12.63015,262.2705,97.05419,100.7871,94.32935,84.04082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.42908,249.4523,34.14231,-9.131225,260.8188,24.10376,-45.21918,37.00262,-77.50026,-10.07021,43.99823,-90.11693,15.89455,44.19376,-81.82068,46.60571,28.35028,-63.94314,-0.09455372,-0.8296061,-0.5502847,35.14898,6.995605,-12.61666,262.0894,97.05802,100.7885,94.34166,84.05091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
